id,lng,lat,topic,sentiment,temperature_avg
1.08E+18,-74.01,40.71,Weather Extremes,0.03,1.44
1.08E+18,3.39,6.46,Weather Extremes,0.11,0.72
1.08E+18,3.39,6.45,Impact of Resource Overconsumption,0.17,0.72
1.08E+18,-86.78,36.17,Weather Extremes,0.38,4.01
1.08E+18,-81.63,38.35,Weather Extremes,-0.37,5.89
1.08E+18,-81.63,35.09,Seriousness of Gas Emissions,-0.24,3.4
1.08E+18,-99.51,31.82,Weather Extremes,0.52,5.15
1.08E+18,-118.24,34.05,Weather Extremes,-0.16,-3.13
1.08E+18,-116.78,34.69,Weather Extremes,-0.71,-0.96
1.08E+18,28.05,-26.21,Weather Extremes,0.03,0.38
1.08E+18,-70.87,43.2,Weather Extremes,-0.27,2.6
1.08E+18,6.57,53.22,Seriousness of Gas Emissions,-0.24,6.83
1.08E+18,-81.4,40.88,Impact of Resource Overconsumption,0.03,7.36
1.08E+18,-123.1,44.05,Impact of Resource Overconsumption,-0.03,-2.88
1.08E+18,-73.84,40.68,Weather Extremes,-0.45,0.77
1.08E+18,-125,55,Seriousness of Gas Emissions,-0.33,-2.94
1.08E+18,-83.92,35.96,Weather Extremes,-0.25,3.27
1.08E+18,-99.51,31.82,Seriousness of Gas Emissions,-0.07,5.15
1.08E+18,-122.42,37.78,Weather Extremes,-0.37,-3.58
1.08E+18,2.18,41.38,Weather Extremes,0.53,0.67
1.08E+18,-79.42,43.7,Weather Extremes,0.36,8.55
1.08E+18,-116.78,34.69,Impact of Resource Overconsumption,-0.65,-0.96
1.08E+18,-89.75,32.75,Seriousness of Gas Emissions,-0.04,3.26
1.08E+18,-79.79,36.07,Weather Extremes,-0.37,4.21
1.08E+18,-123.11,49.26,Weather Extremes,0.02,-1.23
1.08E+18,-114.01,51.29,Impact of Resource Overconsumption,0.82,-2.9
1.08E+18,-1.48,52.92,Weather Extremes,-0.53,4.85
1.08E+18,-115,55,Weather Extremes,0.1,-2.65
1.08E+18,-88.84,43.46,Weather Extremes,-0.54,5.83
1.08E+18,-0.42,51.88,Weather Extremes,0.81,4.06
1.08E+18,-116.78,34.69,Seriousness of Gas Emissions,-0.24,-0.96
1.08E+18,-117.16,32.72,Impact of Resource Overconsumption,0.05,-1.44
1.08E+18,-1.26,52.53,Weather Extremes,-0.31,4.85
1.08E+18,-104.98,39.74,Weather Extremes,-0.73,2.73
1.08E+18,-77.04,38.9,Seriousness of Gas Emissions,-0.25,3.87
1.08E+18,-111.9,33.51,Weather Extremes,0.68,0.77
1.08E+18,-75.16,39.95,Weather Extremes,-0.3,2.08
1.08E+18,-85.18,42.32,Seriousness of Gas Emissions,-0.24,7.61
1.08E+18,-81.03,34,Weather Extremes,-0.5,2.96
1.08E+18,-111.66,40.23,Seriousness of Gas Emissions,0.7,2.51
1.08E+18,-122.27,37.8,Weather Extremes,0.53,-3.58
1.08E+18,-121.39,36.22,Seriousness of Gas Emissions,0.18,-4.36
1.08E+18,-4.03,55.78,Weather Extremes,0.63,4.71
1.08E+18,-4.5,55.5,Weather Extremes,0.28,4.71
1.08E+18,-117.85,33.79,Weather Extremes,-0.37,-1.71
1.08E+18,-0.97,51.46,Weather Extremes,-0.3,4.06
1.08E+18,-92.5,38.25,Seriousness of Gas Emissions,0.61,4.84
1.08E+18,-2.49,53.92,Weather Extremes,0.53,5.14
1.08E+18,-106.65,35.08,Weather Extremes,-0.77,2.31
1.08E+18,-90,44.5,Seriousness of Gas Emissions,-0.24,4.78
1.08E+18,-112.07,33.45,Weather Extremes,0.09,0.45
1.08E+18,-97.52,35.47,Impact of Resource Overconsumption,0.63,4.2
1.08E+18,-71.11,42.38,Impact of Resource Overconsumption,0.64,2.21
1.08E+18,-77.34,38.97,Weather Extremes,-0.37,3.87
1.08E+18,-122.15,37.44,Seriousness of Gas Emissions,0.63,-3.58
1.08E+18,-123.36,48.43,Impact of Resource Overconsumption,-0.19,-1.34
1.08E+18,126.98,37.57,Weather Extremes,0.74,0.96
1.08E+18,-89.69,44.43,Seriousness of Gas Emissions,-0.24,5.09
1.08E+18,-117.35,33.16,Seriousness of Gas Emissions,-0.41,-1.71
1.08E+18,-96.81,32.78,Weather Extremes,0.54,4.33
1.08E+18,-123.09,44.05,Weather Extremes,0.71,-2.88
1.08E+18,-77.04,38.9,Weather Extremes,-0.37,3.87
1.08E+18,-82.69,40.23,Weather Extremes,-0.02,7.41
1.08E+18,-5.44,56.04,Weather Extremes,-0.46,4.74
1.08E+18,-75.16,39.95,Seriousness of Gas Emissions,-0.39,2.08
1.08E+18,-98.49,29.42,Weather Extremes,-0.52,3
1.08E+18,-74.01,40.71,Weather Extremes,-0.37,1.44
1.08E+18,-80.74,32.19,Weather Extremes,-0.4,2.07
1.08E+18,-80.75,32.16,Weather Extremes,-0.3,2.07
1.08E+18,-116.78,34.69,Weather Extremes,-0.56,-0.96
1.08E+18,-78.64,35.78,Weather Extremes,-0.37,3.69
